Id,SalePrice
1461,119510.96315550427
1462,152316.9129676567
1463,183906.03132448654
1464,201638.87371471908
1465,186739.4030410646
1466,173867.69385013083
1467,176063.1449482729
1468,168635.03776946483
1469,190793.76574074753
1470,118750.26703722571
1471,188568.13396484024
1472,99185.98692436663
1473,96283.43613241354
1474,149083.46079255908
1475,121248.23703690196
1476,370885.6764150312
1477,248995.85688372614
1478,285807.29029637715
1479,293393.39704364433
1480,533295.0607338523
1481,321054.68261526537
1482,203623.18218218972
1483,172653.7011522106
1484,165811.71579361873
1485,178104.44874825378
1486,195479.8864569238
1487,327255.62294203625
1488,241207.4376019795
1489,202460.53996968293
1490,232707.63892416988
1491,191298.98641405403
1492,90662.1621800405
1493,185181.00709660674
1494,285765.3372479952
1495,280889.1752765966
1496,238264.7249965092
1497,185183.47631795282
1498,168734.87016888225
1499,160933.28066925626
1500,155752.1323029046
1501,178055.28086451092
1502,150867.44345167768
1503,282127.26742545323
1504,243544.30243280946
1505,227186.20354650097
1506,190837.9824388237
1507,256097.83509013083
1508,195518.42483182452
1509,165323.11393277248
1510,147297.70710747672
1511,146745.98720742195
1512,174967.80707038773
1513,149587.36495657355
1514,154355.7854571866
1515,195821.92685098803
1516,151483.13530954713
1517,170283.32379173822
1518,131536.84353599662
1519,217390.5313829033
1520,131678.97238569782
1521,134492.1537224
1522,176177.81316267943
1523,111730.6917059882
1524,121309.42200415026
1525,125445.5954322309
1526,111292.74102301421
1527,108485.47732621011
1528,134914.58307056612
1529,148454.40138549297
1530,186347.17290334
1531,107407.6467607102
1532,101120.19112773995
1533,142426.9134582256
1534,121584.2141006568
1535,150881.8237498174
1536,106287.92354811417
1537,40592.718260931906
1538,153716.0088035314
1539,185177.46814052967
1540,93073.83365085901
1541,136448.8903132128
1542,140957.73106630365
1543,199314.00052832955
1544,83356.714459196
1545,114360.05583743351
1546,123988.26490546354
1547,124840.97740099799
1548,132846.2356054536
1549,115827.47579575964
1550,136908.27483403165
1551,108436.18119395895
1552,136138.5935626166
1553,147721.92747199003
1554,119509.59693725301
1555,165527.11250844074
1556,86182.07618035522
1557,101053.93554581927
1558,95461.08928006915
1559,84181.01098080032
1560,127121.69049037839
1561,138182.7953328113
1562,129874.22948204476
1563,121945.97234186334
1564,157859.21139563416
